yil,internetkullanicis,emailkullanicis,sosyalmkullanicis,ýncidents
2008,1574000000,1300000000,1000000000,120
2009,1732000000,1400000000,1130000000,120
2010,2023000000,1900000000,1220000000,120
2011,2267000000,2100000000,1400000000,120
2012,2497000000,2200000000,1470000000,120
2013,2739000000,2400000000,1590000000,120
2014,2956000000,2500000000,1790000000,511
2015,3174000000,2600000000,2070000000,1626
2016,3424000000,2700000000,2280000000,2260
2017,3578000000,3700000000,2460000000,42068
2018,3896000000,3800000000,2650000000,24505
2019,4131000000,3900000000,2950000000,41686
2020,4384000000,4000000000,3230000000,32002
2021,4665000000,4100000000,3480000000,29207
2022,4950000000,4200000000,4260000000,23896
2023,5160000000,4300000000,4890000000,16312
